id_pedido,id_cliente_x,status_x,valor_total_x,atualizado_em_x,operacao,id_cliente_y,status_y,valor_total_y,atualizado_em_y,fg_both,d_valor_total,delta_status
10022,526,CANCELADO,1098.82,2026-06-29T23:47:00-03:00,U,526,ENVIADO,1098.82,2026-06-24 22:47:00,both,0.0,DIFERENTE
10028,542,PAGO,2496.64,2026-06-29T21:21:00-03:00,U,,,,,left_only,,DIFERENTE
10032,563,CANCELADO,5049.1,2026-05-20T22:37:00-03:00,U,563,NOVO,5049.1,2026-05-21 01:37:00,both,0.0,DIFERENTE
10050,568,PAGO,3674.19,2026-05-30T08:09:00-03:00,U,568,CANCELADO,3563.92,2026-05-25 00:09:00,both,110.26999999999998,DIFERENTE
10054,527,ENVIADO,3792.64,2026-06-05T09:03:00-03:00,U,527,PAGO,4096.05,2026-06-05 12:03:00,both,-303.4100000000003,DIFERENTE
10061,556,PAGO,1660.9,2026-07-02T19:12:00-03:00,D,,,,,left_only,,DIFERENTE
10069,559,NOVO,2846.29,2026-05-12T22:41:00-03:00,D,,,,,left_only,,DIFERENTE
10072,541,ENVIADO,4293.04,2026-07-09T12:05:00-03:00,D,,,,,left_only,,DIFERENTE
10077,511,CANCELADO,1729.44,2026-05-30T04:49:00-03:00,D,,,,,left_only,,DIFERENTE
10079,540,ENVIADO,516.0,2026-06-17T08:41:00-03:00,U,540,NOVO,516.0,2026-06-17 11:41:00,both,0.0,DIFERENTE
10080,552,PAGO,2047.36,2026-05-15T11:48:00-03:00,U,,,,,left_only,,DIFERENTE
10091,524,CANCELADO,1643.78,2026-06-30T23:37:00-03:00,D,,,,,left_only,,DIFERENTE
10093,547,ENTREGUE,1065.94,2026-07-10T08:53:00-03:00,U,547,PAGO,1065.94,2026-07-06 02:53:00,both,0.0,DIFERENTE
10099,557,ENTREGUE,190.47,2026-06-04T17:30:00-03:00,U,,,,,left_only,,DIFERENTE
10100,557,NOVO,2638.56,2026-06-20T02:45:00-03:00,D,,,,,left_only,,DIFERENTE
10105,514,PAGO,6125.21,2026-06-09T00:34:00-03:00,U,514,ENVIADO,6615.23,2026-06-09 03:34:00,both,-490.0199999999995,DIFERENTE
10106,567,PAGO,1588.6,2026-06-10T03:06:00-03:00,D,,,,,left_only,,DIFERENTE
10107,546,CANCELADO,637.44,2026-06-08T23:31:00-03:00,U,546,ENVIADO,637.44,2026-06-06 20:31:00,both,0.0,DIFERENTE
10109,557,PAGO,4075.52,2026-07-10T08:49:00-03:00,D,,,,,left_only,,DIFERENTE
10115,568,ENVIADO,4384.05,2026-05-16T15:56:00-03:00,D,,,,,left_only,,DIFERENTE
10116,514,PAGO,5031.75,2026-07-02T00:42:00-03:00,U,,,,,left_only,,DIFERENTE
10117,506,PAGO,4166.22,2026-05-20T06:39:00-03:00,D,,,,,left_only,,DIFERENTE
10118,512,ENTREGUE,3442.86,2026-07-10T03:36:00-03:00,D,,,,,left_only,,DIFERENTE
10127,535,ENVIADO,4688.94,2026-06-08T23:39:00-03:00,U,535,NOVO,4688.94,2026-06-09 02:39:00,both,0.0,DIFERENTE
10135,546,ENVIADO,1407.42,2026-06-29T10:24:00-03:00,U,,,,,left_only,,DIFERENTE
10144,542,PAGO,3630.54,2026-06-30T01:16:00-03:00,D,,,,,left_only,,DIFERENTE
10149,506,PAGO,3378.8,2026-06-25T07:21:00-03:00,U,506,CANCELADO,3649.1,2026-06-25 10:21:00,both,-270.2999999999997,DIFERENTE
